student,mark,q1.1,q1.2,q1.3,q1.4,q2.1,q2.2,q2.3,q3,q4.1,q4.2,q4.3
1,20.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,1,2.0,1
2,14.5,0.0,1.0,2.0,0.0,2.0,2.0,2.0,2.5,0,2.0,1
3,13.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0,1.0,1
4,13.0,0.0,1.0,2.0,2.0,2.0,1.5,0.0,1.5,0,2.0,1
5,13.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0,2.0,0
6,14.0,1.0,1.0,2.0,2.0,1.0,1.5,1.0,2.0,0,1.5,1
7,14.5,1.0,1.0,2.0,2.0,1.0,1.5,2.0,2.0,2,0.0,0
8,10.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0,2.0,0
9,19.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1,2.0,1
10,12.0,0.5,1.0,1.0,1.5,0.0,2.0,1.0,2.0,0,2.0,1
11,12.5,0.0,1.0,2.0,2.0,1.0,1.0,0.0,2.5,0,2.0,1
12,14.5,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.5,0,1.0,0
13,11.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0,2.0,0
14,16.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,0,2.0,1
15,14.5,0.0,1.0,1.5,2.0,2.0,1.0,2.0,2.0,0,2.0,1
16,16.5,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.5,0,2.0,1
17,12.0,0.0,1.0,1.0,1.5,2.0,1.0,2.0,1.5,0,2.0,0
18,15.5,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.5,0,2.0,1
19,18.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,0,2.0,1
20,13.5,0.0,1.0,2.0,2.0,2.0,1.5,2.0,2.0,0,0.0,1
21,17.0,0.5,0.5,2.0,2.0,1.0,2.0,2.0,4.0,2,1.0,0
22,10.0,0.0,1.0,1.5,0.0,2.0,1.0,2.0,1.0,0,1.5,0
23,12.5,0.0,1.0,1.0,2.0,1.0,0.0,1.0,3.5,0,2.0,1
24,12.0,0.5,1.0,2.0,1.0,1.0,1.5,1.0,1.0,1,2.0,0
25,14.0,1.0,1.0,2.0,2.0,2.0,1.5,1.5,1.0,0,2.0,0
26,13.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0,2.0,1
27,17.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1,2.0,0
28,12.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,0,2.0,0
29,14.0,1.0,1.0,1.0,1.0,1.5,1.5,2.0,2.0,1,2.0,0
